Tm,Team Draft RTG,picks,Star,Solid,RoleP,BenchP,Bust,DNP
BRK,2.4291666666666654,1,,,1.0,,,
SAS,2.1880245022168796,29,4.0,3.0,8.0,10.0,4.0,15.0
WSB,1.688415511920296,11,3.0,1.0,4.0,3.0,,2.0
SEA,1.6235946900831577,38,5.0,6.0,10.0,10.0,7.0,14.0
NOH,1.5724377310332687,13,3.0,2.0,4.0,2.0,2.0,1.0
MIL,1.5012363860166211,47,8.0,9.0,11.0,14.0,5.0,5.0
PHI,1.1651102703233707,40,10.0,6.0,8.0,7.0,9.0,7.0
CHH,1.0744575467544568,18,6.0,,5.0,5.0,2.0,1.0
IND,0.9781402682998255,32,3.0,6.0,9.0,10.0,4.0,9.0
HOU,0.9617864957367248,37,7.0,5.0,8.0,10.0,6.0,12.0
PHO,0.7043679623803857,42,8.0,7.0,5.0,9.0,12.0,8.0
DET,0.5794953975248334,44,7.0,5.0,11.0,9.0,12.0,6.0
SAC,0.5577359120930341,48,8.0,8.0,11.0,15.0,6.0,6.0
LAL,0.5105744943359362,37,4.0,2.0,7.0,19.0,5.0,6.0
GSW,0.32882434437543134,50,9.0,5.0,11.0,18.0,7.0,4.0
BOS,0.31847240393634885,41,6.0,7.0,6.0,15.0,7.0,4.0
VAN,0.3035268957517745,11,4.0,,2.0,5.0,,2.0
MEM,0.23485465934699767,23,4.0,3.0,5.0,8.0,3.0,3.0
CLE,0.17112882275179248,41,9.0,5.0,7.0,8.0,12.0,3.0
DEN,-0.23711804537605433,37,7.0,6.0,8.0,11.0,5.0,6.0
MIN,-0.32282332578214845,47,11.0,2.0,12.0,16.0,6.0,11.0
TOR,-0.35453877447241305,25,7.0,4.0,3.0,9.0,2.0,5.0
MIA,-0.3812208804340074,33,3.0,4.0,8.0,9.0,9.0,8.0
NYK,-0.47672900801453216,31,4.0,2.0,12.0,7.0,5.0,5.0
DAL,-0.5417108836461568,35,4.0,2.0,9.0,14.0,6.0,14.0
CHI,-0.5469431329857537,52,7.0,5.0,11.0,20.0,8.0,5.0
CHA,-0.7288187574198657,19,3.0,4.0,5.0,7.0,,1.0
UTA,-0.7847996772154996,42,4.0,2.0,14.0,12.0,10.0,7.0
NJN,-0.7982067091797543,34,5.0,6.0,7.0,11.0,5.0,6.0
WAS,-0.9816655431113337,29,3.0,4.0,9.0,10.0,3.0,5.0
ORL,-1.1854832136541953,40,4.0,6.0,9.0,12.0,9.0,6.0
LAC,-1.3407291904002434,38,5.0,10.0,8.0,7.0,8.0,8.0
OKC,-1.4776057678231587,9,1.0,1.0,2.0,4.0,1.0,2.0
ATL,-1.7493055442047147,48,4.0,4.0,10.0,23.0,7.0,8.0
POR,-1.7498300937638298,47,3.0,1.0,14.0,19.0,10.0,9.0
NOK,-7.03031185300207,4,,,,2.0,2.0,1.0
