Tm,Team_Draft_RTG,picks,Star,Solid,RoleP,BenchP,Bust,DNP
BRK,2.429,1,,,1,,,
SAS,2.188,29,4,3,8,10,4,15
WSB,1.689,11,3,1,4,3,,2
SEA,1.624,38,5,6,10,10,7,14
NOH,1.572,13,3,2,4,2,2,1
MIL,1.501,47,8,9,11,14,5,5
PHI,1.165,40,10,6,8,7,9,7
CHH,1.074,18,6,,5,5,2,1
IND,0.978,32,3,6,9,10,4,9
HOU,0.962,37,7,5,8,10,6,12
PHO,0.704,42,8,7,5,9,12,8
DET,0.58,44,7,5,11,9,12,6
SAC,0.558,48,8,8,11,15,6,6
LAL,0.511,37,4,2,7,19,5,6
GSW,0.329,50,9,5,11,18,7,4
BOS,0.318,41,6,7,6,15,7,4
VAN,0.303,11,4,,2,5,,2
MEM,0.235,23,4,3,5,8,3,3
CLE,0.171,41,9,5,7,8,12,3
DEN,-0.237,37,7,6,8,11,5,6
MIN,-0.323,47,11,2,12,16,6,11
TOR,-0.355,25,7,4,3,9,2,5
MIA,-0.381,33,3,4,8,9,9,8
NYK,-0.477,31,4,2,12,7,5,5
DAL,-0.542,35,4,2,9,14,6,14
CHI,-0.547,52,7,5,11,20,8,5
CHA,-0.729,19,3,4,5,7,,1
UTA,-0.785,42,4,2,14,12,10,7
NJN,-0.798,34,5,6,7,11,5,6
WAS,-0.982,29,3,4,9,10,3,5
ORL,-1.185,40,4,6,9,12,9,6
LAC,-1.341,38,5,10,8,7,8,8
OKC,-1.478,9,1,1,2,4,1,2
ATL,-1.749,48,4,4,10,23,7,8
POR,-1.75,47,3,1,14,19,10,9
NOK,-7.03,4,,,,2,2,1
